Kernel                           Source → Target  
fft                                sycl → hip     
fft                                 omp → sycl    
fft                                sycl → omp     
fwt                                cuda → hip     
fwt                                 hip → cuda    
fwt                                cuda → omp     
fwt                                 omp → cuda    
fwt                                cuda → sycl    
fwt                                sycl → cuda    
fwt                                 hip → omp     
fwt                                 omp → hip     
fwt                                 hip → sycl    
fwt                                sycl → hip     
fwt                                 omp → sycl    
fwt                                sycl → omp     
ising                              cuda → hip     
ising                               hip → cuda    
ising                              cuda → omp     
ising                               omp → cuda    
ising                              cuda → sycl    
ising                              sycl → cuda    
ising                               hip → omp     
ising                               omp → hip     
ising                               hip → sycl    
ising                              sycl → hip     
ising                               omp → sycl    
ising                              sycl → omp     
lud                                cuda → hip     
lud                                 hip → cuda    
lud                                cuda → omp     
lud                                 omp → cuda    
lud                                cuda → sycl    
lud                                sycl → cuda    
lud                                 hip → omp     
lud                                 omp → hip     
lud                                 hip → sycl    
lud                                sycl → hip     
lud                                 omp → sycl    
lud                                sycl → omp     
merge                              cuda → hip     
merge                               hip → cuda    
merge                              cuda → omp     
merge                               omp → cuda    
merge                              cuda → sycl    
merge                              sycl → cuda    
merge                               hip → omp     
merge                               omp → hip     
merge                               hip → sycl    
merge                              sycl → hip     
merge                               omp → sycl    
merge                              sycl → omp     
nbody                              cuda → hip     
nbody                               hip → cuda    
nbody                              cuda → omp     
nbody                               omp → cuda    
nbody                              cuda → sycl    
nbody                              sycl → cuda    
nbody                               hip → omp     
nbody                               omp → hip     
nbody                               hip → sycl    
nbody                              sycl → hip     
nbody                               omp → sycl    
nbody                              sycl → omp     
nn                                 cuda → hip     
nn                                  hip → cuda    
nn                                 cuda → omp     
nn                                  omp → cuda    
nn                                 cuda → sycl    
nn                                 sycl → cuda    
nn                                  hip → omp     
nn                                  omp → hip     
nn                                  hip → sycl    
nn                                 sycl → hip     
nn                                  omp → sycl    
nn                                 sycl → omp     
particle-diffusion                 cuda → hip     
particle-diffusion                  hip → cuda    
particle-diffusion                 cuda → omp     
particle-diffusion                  omp → cuda    
particle-diffusion                 cuda → sycl    
particle-diffusion                 sycl → cuda    
particle-diffusion                  hip → omp     
particle-diffusion                  omp → hip     
particle-diffusion                  hip → sycl    
particle-diffusion                 sycl → hip     
particle-diffusion                  omp → sycl    
particle-diffusion                 sycl → omp     
radixsort                          cuda → hip     
radixsort                           hip → cuda    
radixsort                          cuda → omp     
radixsort                           omp → cuda    
radixsort                          cuda → sycl    
radixsort                          sycl → cuda    
radixsort                           hip → omp     
radixsort                           omp → hip     
radixsort                           hip → sycl    
radixsort                          sycl → hip     
radixsort                           omp → sycl    
radixsort                          sycl → omp     
scan                               cuda → hip     
scan                                hip → cuda    
scan                               cuda → omp     
scan                                omp → cuda    
scan                               cuda → sycl    
scan                               sycl → cuda    
scan                                hip → omp     
scan                                omp → hip     
scan                                hip → sycl    
scan                               sycl → hip     
scan                                omp → sycl    
scan                               sycl → omp     
simplespmv                         cuda → hip     
simplespmv                          hip → cuda    
simplespmv                         cuda → omp     
simplespmv                          omp → cuda    
simplespmv                         cuda → sycl    
simplespmv                         sycl → cuda    
simplespmv                          hip → omp     
simplespmv                          omp → hip     
simplespmv                          hip → sycl    
simplespmv                         sycl → hip     
simplespmv                          omp → sycl    
simplespmv                         sycl → omp     
sobel                              cuda → hip     
sobel                               hip → cuda    
sobel                              cuda → omp     
sobel                               omp → cuda    
sobel                              cuda → sycl    
sobel                              sycl → cuda    
sobel                               hip → omp     
sobel                               omp → hip     
sobel                               hip → sycl    
sobel                              sycl → hip     
sobel                               omp → sycl    
sobel                              sycl → omp     

Total: 240 translation pairs
